ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COG
1509	0	I	*min-, *mun-	*min-			14-a
1510	0	I	*min-, *mun-	*mun-			14-a
1511	101	I	manne	manne			14-a
1512	102	I	månna	månna			14-a
1513	104	I	mån/iv/-iv	mån			14-a
1514	104	I	mån/iv/-iv	iv			14-a
1515	104	I	mån/iv/-iv	-iv			14-a
1516	105	I	mun	mun			14-a
1517	106	I	mun	mun			14-a
1518	107	I	mon	mon			14-a
1519	108	I	munn	munn			14-a
1520	203	I	minä	minä			14-a
1521	204	I	mie	mie		In Olonets Karelian (Livvi), "minä"	14-a
1522	207	I	mińa ~ mä	mińa ~ mä			14-a
1523	208	I	miä	miä			14-a
1524	209	I	miä	miä			14-a
1525	210	I	mina ~ ma	mina ~ ma			14-a
1526	211	I	maq, mina, minno	maq			14-a
1527	211	I	maq, mina, minno	mina			14-a
1528	211	I	maq, mina, minno	minno			14-a
1529	212	I	ma	ma			14-a
1530	301	I	mon	mon			14-a
1531	401	I	mə̑j	mə̑j			14-a
1532	501	I	me	me			14-a
1533	503	I	me	me		Stem "men-"	14-a
1534	504	I	mon	mon			14-a
1535	601	I	én	én			14-a
1536	701	I	am	am			14-a
1537	807	I	mä	mä			14-a
1538	901	I	mənə	mənə			14-a
1539	902	I	məny°	məny°			14-a
1540	907	I	man	man			14-a
145	203	all	kaikki	kaikki			102-a
146	204	all	kaikki	kaikki			102-a
147	207	all	kaik	kaik			102-a
148	208	all	kai, kaiɢ, kaiɢin	kai			102-a
149	208	all	kai, kaiɢ, kaiɢin	kaiɢ			102-a
150	208	all	kai, kaiɢ, kaiɢin	kaiɢin			102-a
151	209	all	ke̮iɢ ~ ke̮ik	ke̮iɢ ~ ke̮ik			102-a
152	210	all	kõik	kõik			102-a
153	211	all	kõik'	kõik'			102-a
154	212	all	amà	amà			102-b
155	105	all	buot	buot			102-c
156	106	all	puoh	puoh			102-c
157	107	all	puk	puk			102-c
158	108	all	pugk	pugk			102-c
159	401	all	čə̑la	čə̑la			102-d
160	301	all	veśe	veśe			102-e
161	601	all	összes	összes			102-e
162	901	all	bənsə, bəńdʹikā	bənsə		Latter deriv.; from PU *we(ń)ćV?	102-e
163	901	all	bənsə, bəńdʹikā	bəńdʹikā		Latter deriv.; from PU *we(ń)ćV?	102-e
164	902	all	mal°h	mal°h			102-f
165	501	all	bi̮d, bi̮de̮n	bi̮d			102-g
166	501	all	bi̮d, bi̮de̮n	bi̮de̮n			102-g
167	503	all	bi̮de̮s	bi̮de̮s			102-g
168	601	all	mind, minden	mind			102-h
169	601	all	mind, minden	minden			102-h
170	701	all	sōχ	sōχ			102-i
171	807	all	əj-săɣi̮t	əj-săɣi̮t			102-j
172	501	all	stav, stave̮n	stav			102-k
173	501	all	stav, stave̮n	stave̮n			102-k
174	907	all	muntə	muntə			102-l
175	504	all	vańmi̮z	vańmi̮z			102-m
176	106	all	viisut	viisut			102-n
177	101	all	gaajhke	gaajhke			102-o
178	102	all	gáihka	gáihka			102-o
179	104	all	gajk	gajk			102-o
180	101	and	jïh	jïh			103-a
181	102	and	jah	jah			103-a
182	204	and	i	i			103-b
183	208	and	i	i			103-b
184	209	and	i	i			103-b
185	204	and	ta ~ tai	ta ~ tai			103-c
186	207	and	da	da			103-c
187	208	and	ta	ta			103-c
188	107	and	di ~ da etc.	di ~ da etc.			103-d
189	401	and	δa	δa			103-e
