ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COG
1554	NamHsan	I	Ɂɔː	Ɂɔː	ʔ ɔː		1-99
1555	KhunHawt	I	Ɂoː	Ɂoː	ʔ oː		1-99
1556	HtanHsan	I	Ɂɔː	Ɂɔː	ʔ ɔː		1-99
1557	ManLoi	I	Ɂɔː	Ɂɔː	ʔ ɔː		1-99
1558	MengDan	I	ʔoː	ʔoː	ʔ oː		1-99
1559	ChuDongGua	I	ʔoː	ʔoː	ʔ oː		1-99
1560	XiangZhaiTang	I	Ɂow	Ɂow	ʔ ou̯		2-99
1561	PongNuea	I	Ɂow	Ɂow	ʔ ou̯		2-99
1562	NyaungGone	I	ʔo	ʔo	ʔ o		1-99
1563	NoeLae	I	Ɂo	Ɂo	ʔ o		1-99
1564	BanPaw	I	Ɂo	Ɂo	ʔ o		1-99
1565	ChaYeQing	I	Ɂaw	Ɂaw	ʔ au̯		2-99
1566	GuangKa	I	Ɂau	Ɂau	ʔ au̯		2-99
1567	MangBang	I	Ɂaw	Ɂaw	ʔ au̯		2-99
1568	NanSang	I	Ɂaw	Ɂaw	ʔ au̯		2-99
593	NamHsan	abdomen	vɛɁ	vɛɁ	v ɛ ʔ		1-38
594	KhunHawt	abdomen	vac	vac	v a c		1-38
595	HtanHsan	abdomen	vaic	vaic	v ai̯ c		1-38
596	PangKham	abdomen	waɁ	waɁ	w a ʔ		1-38
597	ManLoi	abdomen	vaiɁ	vaiɁ	v ai̯ ʔ		1-38
598	MengDan	abdomen	veʔ	veʔ	v e ʔ		1-38
599	ChuDongGua	abdomen	vɛʔ	vɛʔ	v ɛ ʔ		1-38
600	XiangZhaiTang	abdomen	vac	vac	v a c		1-38
601	PongNuea	abdomen	vaic	vaic	v ai̯ c		1-38
602	NyaungGone	abdomen	văt	văt	v ă t		1-38
603	NoeLae	abdomen	văc	văc	v ă c		1-38
604	BanPaw	abdomen	văt	văt	v ă t		1-38
605	ChaYeQing	abdomen	vat	vat	v a t		1-38
606	GuangKa	abdomen	vat	vat	v a t		1-38
607	MangBang	abdomen	vat	vat	v a t		1-38
608	NanSang	abdomen	vat	vat	v a t		1-38
854	NamHsan	ashes	kafaːŋ	kafaːŋ	k a + f aː ŋ		1-55
855	KhunHawt	ashes	kafaːŋ	kafaːŋ	k a + f aː ŋ		1-55
856	HtanHsan	ashes	kafaːŋ	kafaːŋ	k a + f aː ŋ		1-55
857	PangKham	ashes	kafaːŋ	kafaːŋ	k a + f aː ŋ		1-55
858	ManLoi	ashes	kafaːŋ	kafaːŋ	k a + f aː ŋ		1-55
859	MengDan	ashes	kəfɛːŋ	kəfɛːŋ	k ə + f ɛː ŋ		1-55
860	ChuDongGua	ashes	kafaːŋ	kafaːŋ	k a + f aː ŋ		1-55
861	XiangZhaiTang	ashes	kafaːŋ	kafaːŋ	k a + f aː ŋ		1-55
862	PongNuea	ashes	brɔŋɔː	brɔŋɔː	b r ɔ + ŋ ɔː		2-55
863	NyaungGone	ashes	brɔ ŋɔ	brɔ ŋɔ	b r ɔ + ŋ ɔ		2-55
864	NoeLae	ashes	brɔ ŋɔ	brɔ ŋɔ	b r ɔ + ŋ ɔ		2-55
865	BanPaw	ashes	brɔ ŋɔ	brɔ ŋɔ	b r ɔ + ŋ ɔ		2-55
866	ChaYeQing	ashes	kafaːŋ	kafaːŋ	k a + f aː ŋ		1-55
867	GuangKa	ashes	kafaːŋ	kafaːŋ	k a + f aː ŋ		1-55
868	MangBang	ashes	kafaːŋ	kafaːŋ	k a + f aː ŋ		1-55
869	NanSang	ashes	kafaːŋ	kafaːŋ	k a + f aː ŋ		1-55
369	NamHsan	bird	sim	sim	s i m		1-24
370	KhunHawt	bird	sim	sim	s i m		1-24
371	HtanHsan	bird	sim	sim	s i m		1-24
372	PangKham	bird	sim	sim	s i m		1-24
373	ManLoi	bird	sim	sim	s i m		1-24
374	MengDan	bird	sim	sim	s i m		1-24
375	ChuDongGua	bird	sim	sim	s i m		1-24
376	XiangZhaiTang	bird	siːm	siːm	s iː m		1-24
377	PongNuea	bird	masiːm	masiːm	m a + s iː m		1-24
378	NyaungGone	bird	masim	masim	m a + s i m		1-24
379	NoeLae	bird	masim	masim	m a + s i m		1-24
380	BanPaw	bird	masim	masim	m a + s i m		1-24
381	ChaYeQing	bird	siːm	siːm	s iː m		1-24
382	GuangKa	bird	siːm	siːm	s iː m		1-24
383	MangBang	bird	siːm	siːm	s iː m		1-24
384	NanSang	bird	siːm	siːm	s iː m		1-24
321	NamHsan	bite	ɡaɁ	ɡaɁ	g a ʔ		1-21
322	KhunHawt	bite	ɡaɁ	ɡaɁ	g a ʔ		1-21
323	HtanHsan	bite	ɡaɁ	ɡaɁ	g a ʔ		1-21
324	PangKham	bite	ɡak	ɡak	g a k		1-21
325	ManLoi	bite	kak	kak	k a k		1-21
326	MengDan	bite	kiaʔ	kiaʔ	k i/j a ʔ		1-21
327	ChuDongGua	bite	ɡa?	ɡa?	g a ʔ		1-21
328	XiangZhaiTang	bite	kɔɁ	kɔɁ	k ɔ ʔ		1-21
329	PongNuea	bite	kauɁ	kauɁ	k au̯ ʔ		1-21
330	NyaungGone	bite	kauʔ	kauʔ	k au̯ ʔ		1-21
331	NoeLae	bite	kauɁ	kauɁ	k au̯ ʔ		1-21
332	BanPaw	bite	kauɁ	kauɁ	k au̯ ʔ		1-21
333	ChaYeQing	bite	ɡak	ɡak	g a k		1-21
334	GuangKa	bite	ɡak	ɡak	g a k		1-21
