ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COG
1	Badga	I	na	na	n a		I-B
2	Betta_Kurumba	I	na:ʋə	na:ʋə	n aː ʋ ə		I-B
3	Brahui	I	i:	i:	iː		I-B
4	Gondi	I	nanna	nanna	n a nː a		I-B
5	Kannada	I	na:nu	na:nu	n aː n u		I-B
6	Kodava	I	na:nə	na:nə	n aː n ə		I-B
7	Kolami	I	ne:nu	ne:nu	n eː n u		I-B
8	Kota	I	a:n	a:n	aː n		I-B
9	Koya	I	nanna	nanna	n a nː a		I-B
10	Kurukh	I	ae:n	ae:n	a eː n		I-B
11	Kuwi	I	na:nu	na:nu	n aː n u		I-B
12	Kuwi	I	mu	mu	m u		I-B
13	Malayalam	I	ɲa:n	ɲa:n	ɲ aː n		I-B
14	Malto	I	he:nu	he:nu	h eː n u		I-B
15	Ollari_Gadba	I	a:n	a:n	aː n		I-B
16	Parji	I	ān	ān	aː n		I-B
17	Tamil	I	na:n	na:n	n aː n		I-B
18	Telugu	I	ne:nu	ne:nu	n eː n u		I-B
19	Toda	I	o:n	o:n	oː n		I-B
20	Tulu	I	ja:nu	ja:nu	j aː n u		I-B
21	Yeruva	I	na:n	na:n	n aː n		I-B
22	Badga	all	ella	ella	e lː a		all-A
23	Kannada	all	ella	ella	e lː a		all-A
24	Kodava	all	ella	ella	e lː a		all-A
25	Kota	all	ella:m	ella:m	e lː aː m		all-A
26	Malayalam	all	ella	ella	e lː a		all-A
27	Tamil	all	ella:m	ella:m	e lː aː m		all-A
28	Koya	all	anta:	anta:	a n t aː		all-B
29	Telugu	all	anta	anta	a n t a		all-B
30	Koya	all	mottam	mottam	m o tː a m		all-C
31	Telugu	all	mottamu	mottamu	m o tː a m u		all-C
32	Toda	all	oʋʋoɖimo	oʋʋoɖimo	o ʋː o ɖ i m o		all-D
33	Telugu	all	anni	anni	a nː i		all-E
34	Yeruva	all	nanga:ɭə	nanga:ɭə	n a n g aː ɭ ə		all-F
35	Tulu	all	Ma:ta	Ma:ta	m aː t a		all-G
36	Betta_Kurumba	all	o:ʈəja	o:ʈəja	oː ʈ ə j a		all-H
37	Kuwi	all	hara	hara	h a r a		all-I
38	Brahui	all	kull	kull	k u lː		all-J
39	Malto	all	go:ʈahi:	go:ʈahi:	g oː ʈ a h iː		all-K
