ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COG
1591	Tenen_Palian	I	ʔiɲ	ʔiɲ	ʔ i ɲ		52_i_2
1596	Tenen_Paborn	I	ʔiɲ	ʔiɲ	ʔ i ɲ		52_i_2
1600	Maniq	I	ʔiɲ	ʔiɲ	ʔ i ɲ		52_i_2
1605	Kensiw_Perak	I	yɛʔ	yɛʔ	j ɛ ʔ		52_i_0
1610	Kensiw_Kedah	I	yɛʔ	yɛʔ	j ɛ ʔ		52_i_0
1615	Kintaq	I	yɛʔ	yɛʔ	j ɛ ʔ		52_i_0
1620	Jahai_Banun	I	yɛʔ	yɛʔ	j ɛ ʔ		52_i_0
1625	Jahai_Rual	I	yɛʔ	yɛʔ	j ɛ ʔ		52_i_0
1630	Menriq_Lah	I	yɛʔ	yɛʔ	j ɛ ʔ		52_i_0
1635	Menriq_Rual	I	ʔiɲ	ʔiɲ	ʔ i ɲ		52_i_2
1640	Batek_Teh_Taku	I	yɛʔ	yɛʔ	j ɛ ʔ		52_i_0
1645	Batek_Teh_Lebir	I	yɛʔ	yɛʔ	j ɛ ʔ		52_i_0
1649	Batek_Teq	I	yɛʔ	yɛʔ	j ɛ ʔ		52_i_0
1654	Batek_Deq_Terengganu	I	yɛʔ	yɛʔ	j ɛ ʔ		52_i_0
1659	Batek_Deq_Koh	I	yɛʔ	yɛʔ	j ɛ ʔ		52_i_0
1664	Ceq_Wong	I	ʔiŋ	ʔiŋ	ʔ i ŋ		52_i_1
1669	Semnam_Bal	I	ʔı̃ːɲ	ʔı̃ːɲ	ʔ ĩː ɲ		52_i_2
1674	Semnam_Malau	I	ʔı̃ːɲ	ʔı̃ːɲ	ʔ ĩː ɲ		52_i_2
1678	Lanoh_Kertei	I	ʔic	ʔic	ʔ i c		52_i_2
1682	Temiar_Kelantan	I	yeːʔ	yeːʔ	j eː ʔ		52_i_0
1687	Temiar_Perak	I	ye:ʔ	ye:ʔ	j eː ʔ		52_i_0
1692	Semai_Ringlet	I	ʔɛn	ʔɛn	ʔ ɛ n		52_i_4
1697	Semai_Kampar	I	ʔen	ʔen	ʔ e n		52_i_4
1702	Jah_Hut	I	ʔihãʔ	ʔihãʔ	ʔ i h ã ʔ		52_i_3
1707	Mah_Meri	I	ʔəʔə̤t	ʔəʔə̤t	ʔ ə ʔ ə̤ t		52_i_2
1712	Semaq_Beri_Berua	I	ʔəɲ	ʔəɲ	ʔ ə ɲ		52_i_2
1717	Semaq_Beri_Jaboy	I	ʔən	ʔən	ʔ ə n		52_i_2
1722	Semelai	I	ʔəɲ	ʔəɲ	ʔ ə ɲ		52_i_2
1727	Kammu	I	ò	ò	ò/o		52_i_5
1732	Khmer_Surin	I	ɲɔm	ɲɔm	ɲ ɔ m		52_i_6
1737	Khmer_Siem_Reap	I	khɲɔm	khɲɔm	kʰ ɲ ɔ m		52_i_6
1742	Mon	I	ʔoa	ʔoa	ʔ o a		52_i_5
1	Tenen_Palian	animal	ʔay	ʔay	ʔ a j		1_animal_0
6	Tenen_Paborn	animal	bsiŋ	bsiŋ	b s i ŋ		1_animal_6
11	Maniq	animal	ʔay	ʔay	ʔ a j		1_animal_0
16	Kensiw_Perak	animal	hapɔʔ	hapɔʔ	h a p ɔ ʔ		1_animal_3
21	Kensiw_Kedah	animal	ʔay	ʔay	ʔ a j		1_animal_0
26	Kintaq	animal	ʔay	ʔay	ʔ a j		1_animal_0
31	Jahai_Banun	animal	ʔay	ʔay	ʔ a j		1_animal_0
36	Jahai_Rual	animal	paŋen	paŋen	p a ŋ e n		1_animal_4
41	Menriq_Lah	animal	ʔay	ʔay	ʔ a j		1_animal_0
46	Menriq_Rual	animal	ʔay	ʔay	ʔ a j		1_animal_0
51	Batek_Teh_Taku	animal	ʔay	ʔay	ʔ a j		1_animal_0
56	Batek_Teh_Lebir	animal	ʔay	ʔay	ʔ a j		1_animal_0
68	Batek_Deq_Koh	animal	ʔay	ʔay	ʔ a j		1_animal_0
73	Ceq_Wong	animal	nataŋ	nataŋ	n a t a ŋ		
78	Semnam_Bal	animal	ʔntĕʔ	ʔntĕʔ	ʔ n t ĕ ʔ		1_animal_5
83	Semnam_Malau	animal	ʔaːy	ʔaːy	ʔ aː j		1_animal_0
88	Lanoh_Kertei	animal	ʔay	ʔay	ʔ a j		1_animal_0
93	Temiar_Kelantan	animal	ɲam	ɲam	ɲ a m		1_animal_1
98	Temiar_Perak	animal	ɲa:m	ɲa:m	ɲ aː m		1_animal_1
103	Semai_Ringlet	animal	mrgas	mrgas	m r g a s		
108	Semai_Kampar	animal	binatak	binatak	b i n a t a k		
113	Jah_Hut	animal	nataŋ	nataŋ	n a t a ŋ		
118	Mah_Meri	animal	nɛtɛŋ, nata̤̤̤̤̤k	nɛtɛŋ	n ɛ t ɛ ŋ		
119	Mah_Meri	animal	nɛtɛŋ, nata̤̤̤̤̤k	nata̤̤̤̤̤k	n a t a̤ k		
124	Semaq_Beri_Berua	animal	binataŋ	binataŋ	b i n a t a ŋ		
129	Semaq_Beri_Jaboy	animal	bnataŋ	bnataŋ	b n a t a ŋ		
134	Semelai	animal	pʔlaʔ	pʔlaʔ	p ʔ l a ʔ		1_animal_2
139	Kammu	animal	tóo sét	tóo sét	t ó/o o + s é/e t		1_animal_7
144	Khmer_Surin	animal	sat	sat	s a t		1_animal_7
149	Khmer_Siem_Reap	animal	sat	sat	s a t		1_animal_7
154	Mon	animal	təroʔ can	təroʔ can	t ə r o ʔ + c a n		
2	Tenen_Palian	back	kaʁɔʔ	kaʁɔʔ	k a ʁ ɔ ʔ		2_back_0
7	Tenen_Paborn	back	kaʁɔʔ	kaʁɔʔ	k a ʁ ɔ ʔ		2_back_0
12	Maniq	back	kaʔɔʔ	kaʔɔʔ	k a ʔ ɔ ʔ		2_back_0
